GameState,PossibleArrows,WinProb,TieProb
46179496230912,1;3;5;7;19;20;21;23;41;43;44;47;49;52;53;55;57;59;60;61;,1,0
46304050446336,3;7;21;23;59;61;,1,0
46305124188160,4;7;19;23;59;60;,1,0
46307271671808,3;4;19;21;60;61;,1,0
46311566639104,4;7;21;23;52;53;,1,0
46312640380928,3;7;19;21;53;55;,1,0
46313714122752,3;4;19;23;52;55;,1,0
46299755491328,4;7;21;23;60;61;,1,0
46304050458624,5;7;16;23;56;61;,1,0
46307271684096,4;5;16;21;56;60;,1,0
46308345425920,4;5;21;23;52;55;,0.5,0.5
46312640393216,5;7;16;21;48;55;,1,0
46313714135040,4;7;16;23;48;52;,1,0
46299755495424,5;7;19;23;59;61;,0.5,0.5
46305124204544,3;7;16;23;56;59;,1,0
46307271688192,3;5;16;19;56;61;,1,0
46308345430016,3;5;19;23;53;55;,1,0
46311566655488,5;7;16;23;48;53;,1,0
46313714139136,3;7;16;19;48;55;,0.5,0.5
46299755507712,4;5;19;21;59;60;,1,0
46304050475008,3;5;16;21;56;59;,1,0
46305124216832,3;4;16;19;56;60;,1,0
46308345442304,3;4;19;21;52;53;,1,0
46311566667776,4;5;16;21;48;52;,1,0
46312640409600,3;5;16;19;48;53;,1,0
46294386802688,4;7;21;23;60;61;,1,0
46295460544512,5;7;19;23;59;61;,1,0
46298681769984,4;5;19;21;59;60;,1,0
46311566671872,4;5;21;23;44;47;,1,0
46312640413696,5;7;19;21;43;47;,1,0
46313714155520,4;7;19;23;43;44;,1,0
46291165593600,3;7;21;23;59;61;,1,0
46294386819072,5;7;16;23;56;61;,1,0
46298681786368,3;5;16;21;56;59;,1,0
46308345462784,3;5;21;23;43;47;,0.5,0.5
46311566688256,5;7;16;21;40;47;,1,0
46313714171904,3;7;16;23;40;43;,1,0
46291165597696,4;7;19;23;59;60;,0.5,0.5
46295460564992,3;7;16;23;56;59;,1,0
46298681790464,3;4;16;19;56;60;,1,0
46308345466880,3;4;19;23;44;47;,0.5,0.5
46311566692352,4;7;16;23;40;44;,0.5,0.5
46312640434176,3;7;16;19;40;47;,0.5,0.5
46291165605888,3;4;19;21;60;61;,1,0
46294386831360,4;5;16;21;56;60;,1,0
46295460573184,3;5;16;19;56;61;,1,0
46308345475072,4;5;19;21;43;44;,1,0
46312640442368,3;5;16;21;40;43;,1,0
46313714184192,3;4;16;19;40;44;,1,0
46294386835456,4;5;21;23;52;55;,1,0
46295460577280,3;5;19;23;53;55;,1,0
46298681802752,3;4;19;21;52;53;,1,0
46304050511872,3;5;21;23;43;47;,1,0
46305124253696,3;4;19;23;44;47;,1,0
46307271737344,4;5;19;21;43;44;,1,0
46291165622272,4;7;21;23;52;53;,1,0
46295460589568,5;7;16;23;48;53;,1,0
46298681815040,4;5;16;21;48;52;,1,0
46299755556864,4;5;21;23;44;47;,1,0
46304050524160,5;7;16;21;40;47;,1,0
46305124265984,4;7;16;23;40;44;,1,0
46291165626368,3;7;19;21;53;55;,1,0
46294386851840,5;7;16;21;48;55;,1,0
46298681819136,3;5;16;19;48;53;,1,0
46299755560960,5;7;19;21;43;47;,1,0
46305124270080,3;7;16;19;40;47;,1,0
46307271753728,3;5;16;21;40;43;,1,0
46291165630464,3;4;19;23;52;55;,1,0
46294386855936,4;7;16;23;48;52;,1,0
46295460597760,3;7;16;19;48;55;,1,0
46299755565056,4;7;19;23;43;44;,1,0
46304050532352,3;7;16;23;40;43;,1,0
46307271757824,3;4;16;19;40;44;,1,0
46248215707648,3;4;5;7;16;19;21;23;40;43;44;47;48;52;53;55;56;59;60;61;,1,0
46438268174336,4;7;21;23;60;61;,1,0
46442563141632,1;7;20;23;57;60;,1,0
46444710625280,1;4;20;21;57;61;,1,0
46446858108928,4;7;20;21;53;55;,1,0
46450079334400,1;7;21;23;49;53;,1,0
46451153076224,1;4;20;23;49;55;,1,0
46437194436608,5;7;20;23;60;61;,1,0
46442563145728,4;7;16;23;56;60;,1,0
46444710629376,4;5;16;20;56;61;,1,0
46445784371200,4;5;20;23;53;55;,1,0
46450079338496,5;7;16;23;48;53;,1,0
46451153080320,4;7;16;20;48;55;,1,0
46437194448896,1;7;21;23;57;61;,0.5,0.5
46438268190720,5;7;16;23;56;61;,1,0
46444710641664,1;5;16;21;56;57;,1,0
46445784383488,1;5;21;23;49;55;,1,0
46446858125312,5;7;16;21;48;55;,0.5,0.5
46451153092608,1;7;16;23;48;49;,1,0
46437194461184,1;5;20;21;57;60;,1,0
46438268203008,4;5;16;21;56;60;,1,0
46442563170304,1;4;16;20;56;57;,1,0
46445784395776,1;4;20;21;49;53;,1,0
46446858137600,4;5;16;20;48;53;,1,0
46450079363072,1;5;16;21;48;49;,1,0
46429678272512,5;7;20;23;60;61;,1,0
46432899497984,1;7;21;23;57;61;,1,0
46436120723456,1;5;20;21;57;60;,1,0
46446858141696,5;7;20;21;44;47;,1,0
46450079367168,1;5;21;23;41;47;,1,0
46451153108992,1;7;20;23;41;44;,1,0
46428604534784,4;7;21;23;60;61;,1,0
46432899502080,5;7;16;23;56;61;,1,0
46436120727552,4;5;16;21;56;60;,1,0
46445784403968,4;5;21;23;44;47;,1,0
46450079371264,5;7;16;21;40;47;,1,0
46451153113088,4;7;16;23;40;44;,1,0
46428604551168,1;7;20;23;57;60;,0.5,0.5
46429678292992,4;7;16;23;56;60;,1,0
46436120743936,1;4;16;20;56;57;,1,0
46445784420352,1;4;20;23;41;47;,0.5,0.5
46446858162176,4;7;16;20;40;47;,0.5,0.5
46450079387648,1;7;16;23;40;41;,0.5,0.5
46428604559360,1;4;20;21;57;61;,1,0
46429678301184,4;5;16;20;56;61;,1,0
46432899526656,1;5;16;21;56;57;,1,0
46445784428544,1;5;20;21;41;44;,1,0
46446858170368,4;5;16;21;40;44;,1,0
46451153137664,1;4;16;20;40;41;,1,0
46429678305280,4;5;20;23;53;55;,1,0
46432899530752,1;5;21;23;49;55;,1,0
46436120756224,1;4;20;21;49;53;,1,0
46438268239872,4;5;21;23;44;47;,1,0
46442563207168,1;4;20;23;41;47;,1,0
46444710690816,1;5;20;21;41;44;,1,0
46428604567552,4;7;20;21;53;55;,1,0
46432899534848,5;7;16;21;48;55;,1,0
46436120760320,4;5;16;20;48;53;,1,0
46437194502144,5;7;20;21;44;47;,1,0
46442563211264,4;7;16;20;40;47;,1,0
46444710694912,4;5;16;21;40;44;,1,0
46428604579840,1;7;21;23;49;53;,1,0
46429678321664,5;7;16;23;48;53;,1,0
46436120772608,1;5;16;21;48;49;,1,0
46437194514432,1;5;21;23;41;47;,1,0
46438268256256,5;7;16;21;40;47;,1,0
46442563223552,1;7;16;23;40;41;,1,0
46428604583936,1;4;20;23;49;55;,1,0
46429678325760,4;7;16;20;48;55;,1,0
46432899551232,1;7;16;23;48;49;,1,0
46437194518528,1;7;20;23;41;44;,1,0
46438268260352,4;7;16;23;40;44;,1,0
46444710711296,1;4;16;20;40;41;,1,0
46385654661120,1;4;5;7;16;20;21;23;40;41;44;47;48;49;53;55;56;57;60;61;,1,0
46575707127808,3;7;20;23;59;60;,1,0
46578928353280,1;7;19;23;57;59;,1,0
46582149578752,1;3;19;20;57;60;,1,0
46584297062400,3;7;19;20;52;55;,1,0
46586444546048,1;7;20;23;49;52;,1,0
46587518287872,1;3;19;23;49;55;,1,0
46574633390080,4;7;19;23;59;60;,1,0
46578928357376,3;7;16;23;56;59;,1,0
46582149582848,3;4;16;19;56;60;,1,0
46583223324672,3;4;19;23;52;55;,1,0
46586444550144,4;7;16;23;48;52;,1,0
46587518291968,3;7;16;19;48;55;,1,0
46574633398272,1;7;20;23;57;60;,1,0
46575707140096,4;7;16;23;56;60;,1,0
46582149591040,1;4;16;20;56;57;,1,0
46583223332864,1;4;20;23;49;55;,1,0
46584297074688,4;7;16;20;48;55;,1,0
46587518300160,1;7;16;23;48;49;,1,0
46574633414656,1;4;19;20;57;59;,1,0
46575707156480,3;4;16;20;56;59;,1,0
46578928381952,1;3;16;19;56;57;,1,0
46583223349248,1;3;19;20;49;52;,1,0
46584297091072,3;4;16;19;48;52;,1,0
46586444574720,1;4;16;20;48;49;,1,0
46567117225984,4;7;19;23;59;60;,1,0
46569264709632,1;7;20;23;57;60;,1,0
46573559676928,1;4;19;20;57;59;,1,0
46584297095168,4;7;19;20;43;47;,1,0
46586444578816,1;4;20;23;41;47;,1,0
46587518320640,1;7;19;23;41;43;,1,0
46566043488256,3;7;20;23;59;60;,1,0
46569264713728,4;7;16;23;56;60;,1,0
46573559681024,3;4;16;20;56;59;,1,0
46583223357440,3;4;20;23;43;47;,1,0
46586444582912,4;7;16;20;40;47;,1,0
46587518324736,3;7;16;23;40;43;,1,0
46566043500544,1;7;19;23;57;59;,1,0
46567117242368,3;7;16;23;56;59;,1,0
46573559693312,1;3;16;19;56;57;,1,0
46583223369728,1;3;19;23;41;47;,1,0
46584297111552,3;7;16;19;40;47;,1,0
46586444595200,1;7;16;23;40;41;,1,0
46566043512832,1;3;19;20;57;60;,1,0
46567117254656,3;4;16;19;56;60;,1,0
46569264738304,1;4;16;20;56;57;,1,0
46583223382016,1;4;19;20;41;43;,1,0
46584297123840,3;4;16;20;40;43;,1,0
46587518349312,1;3;16;19;40;41;,1,0
46567117258752,3;4;19;23;52;55;,1,0
46569264742400,1;4;20;23;49;55;,1,0
46573559709696,1;3;19;20;49;52;,1,0
46575707193344,3;4;20;23;43;47;,1,0
46578928418816,1;3;19;23;41;47;,1,0
46582149644288,1;4;19;20;41;43;,1,0
46566043521024,3;7;19;20;52;55;,1,0
46569264746496,4;7;16;20;48;55;,1,0
46573559713792,3;4;16;19;48;52;,1,0
46574633455616,4;7;19;20;43;47;,1,0
46578928422912,3;7;16;19;40;47;,1,0
46582149648384,3;4;16;20;40;43;,1,0
46566043529216,1;7;20;23;49;52;,1,0
46567117271040,4;7;16;23;48;52;,1,0
46573559721984,1;4;16;20;48;49;,1,0
46574633463808,1;4;20;23;41;47;,1,0
46575707205632,4;7;16;20;40;47;,1,0
46578928431104,1;7;16;23;40;41;,1,0
46566043533312,1;3;19;23;49;55;,1,0
46567117275136,3;7;16;19;48;55;,1,0
46569264758784,1;7;16;23;48;49;,1,0
46574633467904,1;7;19;23;41;43;,1,0
46575707209728,3;7;16;23;40;43;,1,0
46582149660672,1;3;16;19;40;41;,1,0
46523093614592,1;3;4;7;16;19;20;23;40;41;43;47;48;49;52;55;56;57;59;60;,1,0
46713146081280,3;4;20;21;59;61;,1,0
46716367306752,1;3;19;21;57;61;,1,0
46717441048576,1;4;19;20;57;59;,1,0
46721736015872,3;4;19;21;52;53;,1,0
46723883499520,1;4;20;21;49;53;,1,0
46726030983168,1;3;19;20;49;52;,1,0
46712072343552,4;5;19;20;59;61;,1,0
46716367310848,3;5;16;19;56;61;,1,0
46717441052672,3;4;16;20;56;59;,1,0
46720662278144,3;5;19;20;52;53;,1,0
46723883503616,4;5;16;20;48;53;,1,0
46726030987264,3;4;16;19;48;52;,1,0
46712072351744,1;4;20;21;57;61;,1,0
46713146093568,4;5;16;20;56;61;,1,0
46716367319040,1;5;16;21;56;57;,1,0
46720662286336,1;5;20;21;49;52;,0.5,0.5
46721736028160,4;5;16;21;48;52;,1,0
46726030995456,1;4;16;20;48;49;,1,0
46712072355840,1;5;19;21;57;59;,0.5,0.5
46713146097664,3;5;16;21;56;59;,1,0
46717441064960,1;3;16;19;56;57;,1,0
46720662290432,1;3;19;21;49;53;,1,0
46721736032256,3;5;16;19;48;53;,0.5,0.5
46723883515904,1;5;16;21;48;49;,1,0
46704556179456,4;5;19;20;59;61;,1,0
46706703663104,1;4;20;21;57;61;,1,0
46707777404928,1;5;19;21;57;59;,1,0
46721736048640,4;5;19;21;43;44;,1,0
46723883532288,1;5;20;21;41;44;,1,0
46726031015936,1;4;19;20;41;43;,1,0
46703482441728,3;4;20;21;59;61;,1,0
46706703667200,4;5;16;20;56;61;,1,0
46707777409024,3;5;16;21;56;59;,1,0
46720662310912,3;5;20;21;43;44;,1,0
46723883536384,4;5;16;21;40;44;,1,0
46726031020032,3;4;16;20;40;43;,1,0
46703482454016,1;3;19;21;57;61;,1,0
46704556195840,3;5;16;19;56;61;,1,0
46706703679488,1;5;16;21;56;57;,1,0
46720662323200,1;5;19;21;41;43;,0.5,0.5
46721736065024,3;5;16;21;40;43;,1,0
46726031032320,1;3;16;19;40;41;,1,0
46703482458112,1;4;19;20;57;59;,1,0
46704556199936,3;4;16;20;56;59;,1,0
46707777425408,1;3;16;19;56;57;,1,0
46720662327296,1;3;19;20;41;44;,0.5,0.5
46721736069120,3;4;16;19;40;44;,0.5,0.5
46723883552768,1;4;16;20;40;41;,1,0
46704556212224,3;5;19;20;52;53;,1,0
46706703695872,1;5;20;21;49;52;,1,0
46707777437696,1;3;19;21;49;53;,1,0
46713146146816,3;5;20;21;43;44;,1,0
46716367372288,1;5;19;21;41;43;,1,0
46717441114112,1;3;19;20;41;44;,1,0
46703482474496,3;4;19;21;52;53;,1,0
46706703699968,4;5;16;21;48;52;,1,0
46707777441792,3;5;16;19;48;53;,1,0
46712072409088,4;5;19;21;43;44;,1,0
46716367376384,3;5;16;21;40;43;,1,0
46717441118208,3;4;16;19;40;44;,1,0
46703482482688,1;4;20;21;49;53;,1,0
46704556224512,4;5;16;20;48;53;,1,0
46707777449984,1;5;16;21;48;49;,1,0
46712072417280,1;5;20;21;41;44;,1,0
46713146159104,4;5;16;21;40;44;,1,0
46717441126400,1;4;16;20;40;41;,1,0
46703482490880,1;3;19;20;49;52;,1,0
46704556232704,3;4;16;19;48;52;,1,0
46706703716352,1;4;16;20;48;49;,1,0
46712072425472,1;4;19;20;41;43;,0.5,0.5
46713146167296,3;4;16;20;40;43;,1,0
46716367392768,1;3;16;19;40;41;,1,0
46660532568064,1;3;4;5;16;19;20;21;40;41;43;44;48;49;52;53;56;57;59;61;,1,0
46785086754816,3;7;21;23;59;61;,1,0
46786160496640,4;7;19;23;59;60;,1,0
46788307980288,3;4;19;21;60;61;,1,0
46792602947584,4;7;21;23;52;53;,1,0
46793676689408,3;7;19;21;53;55;,1,0
46794750431232,3;4;19;23;52;55;,1,0
46781865537536,4;7;21;23;60;61;,0,1
46786160504832,1;7;20;23;57;60;,0.5,0.5
46788307988480,1;4;20;21;57;61;,1,0
46790455472128,4;7;20;21;53;55;,0.5,0.5
46793676697600,1;7;21;23;49;53;,0.5,0.5
46794750439424,1;4;20;23;49;55;,1,0
46781865545728,3;7;20;23;59;60;,1,0
46785086771200,1;7;19;23;57;59;,1,0
46788307996672,1;3;19;20;57;60;,1,0
46790455480320,3;7;19;20;52;55;,1,0
46792602963968,1;7;20;23;49;52;,1,0
46793676705792,1;3;19;23;49;55;,1,0
46781865553920,3;4;20;21;59;61;,1,0
46785086779392,1;3;19;21;57;61;,1,0
46786160521216,1;4;19;20;57;59;,1,0
46790455488512,3;4;19;21;52;53;,1,0
46792602972160,1;4;20;21;49;53;,1,0
46794750455808,1;3;19;20;49;52;,1,0
46792603013120,4;7;20;21;37;39;,1,0
46793676754944,3;7;21;23;35;37;,1,0
46794750496768,3;4;20;23;35;39;,1,0
46790455541760,3;7;19;21;37;39;,1,0
46792603025408,1;7;21;23;33;37;,1,0
46794750509056,1;3;19;23;33;39;,1,0
46790455545856,4;7;19;20;35;39;,0.5,0.5
46792603029504,1;4;20;23;33;39;,0.5,0.5
46793676771328,1;7;19;23;33;35;,0.5,0.5
46790455554048,3;4;20;21;35;37;,1,0
46793676779520,1;3;19;21;33;37;,1,0
46794750521344,1;4;19;20;33;35;,1,0
46785086853120,3;7;19;21;37;39;,1,0
46786160594944,4;7;19;20;35;39;,1,0
46788308078592,3;4;20;21;35;37;,1,0
46781865635840,4;7;20;21;37;39;,1,0
46785086861312,1;7;21;23;33;37;,1,0
46786160603136,1;4;20;23;33;39;,1,0
46781865639936,3;7;21;23;35;37;,1,0
46786160607232,1;7;19;23;33;35;,1,0
46788308090880,1;3;19;21;33;37;,1,0
46781865644032,3;4;20;23;35;39;,0.5,0.5
46785086869504,1;3;19;23;33;39;,1,0
46788308094976,1;4;19;20;33;35;,1,0
46729252044800,1;3;4;7;19;20;21;23;33;35;37;39;49;52;53;55;57;59;60;61;,1,0
46853806227456,5;7;19;23;59;61;,1,0
46854879969280,3;7;20;23;59;60;,1,0
46857027452928,3;5;19;20;60;61;,1,0
46861322420224,5;7;20;23;52;53;,1,0
46862396162048,3;5;19;23;53;55;,1,0
46863469903872,3;7;19;20;52;55;,1,0
46849511272448,5;7;20;23;60;61;,0,1
46854879981568,4;7;16;23;56;60;,1,0
46857027465216,4;5;16;20;56;61;,1,0
46858101207040,4;5;20;23;53;55;,0.5,0.5
46862396174336,5;7;16;23;48;53;,1,0
46863469916160,4;7;16;20;48;55;,0.5,0.5
46849511280640,4;7;19;23;59;60;,1,0
46853806247936,3;7;16;23;56;59;,1,0
46857027473408,3;4;16;19;56;60;,1,0
46858101215232,3;4;19;23;52;55;,1,0
46861322440704,4;7;16;23;48;52;,1,0
46862396182528,3;7;16;19;48;55;,1,0
46849511288832,4;5;19;20;59;61;,1,0
46853806256128,3;5;16;19;56;61;,1,0
46854879997952,3;4;16;20;56;59;,1,0
46858101223424,3;5;19;20;52;53;,1,0
46861322448896,4;5;16;20;48;53;,1,0
46863469932544,3;4;16;19;48;52;,1,0
46861322485760,4;5;20;23;37;39;,1,0
46862396227584,5;7;19;23;35;37;,1,0
46863469969408,4;7;19;20;35;39;,1,0
46858101276672,3;5;19;23;37;39;,0.5,0.5
46861322502144,5;7;16;23;32;37;,1,0
46863469985792,3;7;16;19;32;39;,1,0
46858101280768,3;4;20;23;35;39;,0,1
46861322506240,4;7;16;20;32;39;,0.5,0.5
46862396248064,3;7;16;23;32;35;,0.5,0.5
46858101288960,4;5;19;20;35;37;,1,0
46862396256256,3;5;16;19;32;37;,1,0
46863469998080,3;4;16;20;32;35;,1,0
46853806325760,3;5;19;23;37;39;,1,0
46854880067584,3;4;20;23;35;39;,1,0
46857027551232,4;5;19;20;35;37;,1,0
46849511370752,4;5;20;23;37;39;,1,0
46853806338048,5;7;16;23;32;37;,1,0
46854880079872,4;7;16;20;32;39;,1,0
46849511374848,5;7;19;23;35;37;,1,0
46854880083968,3;7;16;23;32;35;,1,0
46857027567616,3;5;16;19;32;37;,1,0
46849511378944,4;7;19;20;35;39;,0.5,0.5
46853806346240,3;7;16;19;32;39;,1,0
46857027571712,3;4;16;20;32;35;,1,0
46797971521536,3;4;5;7;16;19;20;23;32;35;37;39;48;52;53;55;56;59;60;61;,1,0
46988023955456,5;7;20;23;60;61;,1,0
46991245180928,1;7;21;23;57;61;,1,0
46994466406400,1;5;20;21;57;60;,1,0
46996613890048,5;7;20;21;52;55;,1,0
46999835115520,1;5;21;23;49;55;,1,0
47000908857344,1;7;20;23;49;52;,1,0
46986950217728,4;7;21;23;60;61;,1,0
46991245185024,5;7;16;23;56;61;,1,0
46994466410496,4;5;16;21;56;60;,1,0
46995540152320,4;5;21;23;52;55;,1,0
46999835119616,5;7;16;21;48;55;,1,0
47000908861440,4;7;16;23;48;52;,1,0
46986950234112,1;7;20;23;57;60;,1,0
46988023975936,4;7;16;23;56;60;,1,0
46994466426880,1;4;16;20;56;57;,1,0
46995540168704,1;4;20;23;49;55;,1,0
46996613910528,4;7;16;20;48;55;,1,0
46999835136000,1;7;16;23;48;49;,1,0
46986950242304,1;4;20;21;57;61;,1,0
46988023984128,4;5;16;20;56;61;,1,0
46991245209600,1;5;16;21;56;57;,1,0
46995540176896,1;5;20;21;49;52;,1,0
46996613918720,4;5;16;21;48;52;,1,0
47000908886016,1;4;16;20;48;49;,1,0
46996613955584,4;7;20;21;37;39;,1,0
46999835181056,1;7;21;23;33;37;,1,0
47000908922880,1;4;20;23;33;39;,1,0
46995540217856,4;5;20;23;37;39;,1,0
46999835185152,5;7;16;23;32;37;,1,0
47000908926976,4;7;16;20;32;39;,1,0
46995540230144,1;5;21;23;33;39;,0.5,0.5
46996613971968,5;7;16;21;32;39;,1,0
47000908939264,1;7;16;23;32;33;,1,0
46995540242432,1;4;20;21;33;37;,1,0
46996613984256,4;5;16;20;32;37;,1,0
46999835209728,1;5;16;21;32;33;,1,0
46988024053760,4;5;20;23;37;39;,1,0
46991245279232,1;5;21;23;33;39;,1,0
46994466504704,1;4;20;21;33;37;,1,0
46986950316032,4;7;20;21;37;39;,1,0
46991245283328,5;7;16;21;32;39;,1,0
46994466508800,4;5;16;20;32;37;,1,0
46986950328320,1;7;21;23;33;37;,1,0
46988024070144,5;7;16;23;32;37;,1,0
46994466521088,1;5;16;21;32;33;,1,0
46986950332416,1;4;20;23;33;39;,1,0
46988024074240,4;7;16;20;32;39;,1,0
46991245299712,1;7;16;23;32;33;,1,0
46935410475008,1;4;5;7;16;20;21;23;32;33;37;39;48;49;52;55;56;57;60;61;,1,0
47056743432192,3;7;21;23;59;61;,1,0
47061038399488,1;7;19;23;57;59;,1,0
47063185883136,1;3;19;21;57;61;,1,0
47065333366784,3;7;19;21;53;55;,1,0
47067480850432,1;7;21;23;49;53;,1,0
47069628334080,1;3;19;23;49;55;,1,0
47055669694464,5;7;19;23;59;61;,1,0
47061038403584,3;7;16;23;56;59;,1,0
47063185887232,3;5;16;19;56;61;,1,0
47064259629056,3;5;19;23;53;55;,1,0
47067480854528,5;7;16;23;48;53;,1,0
47069628338176,3;7;16;19;48;55;,1,0
47055669702656,1;7;21;23;57;61;,0.5,0.5
47056743444480,5;7;16;23;56;61;,1,0
47063185895424,1;5;16;21;56;57;,1,0
47064259637248,1;5;21;23;49;55;,1,0
47065333379072,5;7;16;21;48;55;,0.5,0.5
47069628346368,1;7;16;23;48;49;,1,0
47055669719040,1;5;19;21;57;59;,1,0
47056743460864,3;5;16;21;56;59;,1,0
47061038428160,1;3;16;19;56;57;,1,0
47064259653632,1;3;19;21;49;53;,1,0
47065333395456,3;5;16;19;48;53;,1,0
47067480879104,1;5;16;21;48;49;,1,0
47065333432320,5;7;19;21;35;39;,1,0
47067480915968,1;5;21;23;33;39;,1,0
47069628399616,1;7;19;23;33;35;,1,0
47064259694592,3;5;21;23;35;39;,1,0
47067480920064,5;7;16;21;32;39;,1,0
47069628403712,3;7;16;23;32;35;,1,0
47064259710976,1;3;19;23;33;39;,1,0
47065333452800,3;7;16;19;32;39;,0.5,0.5
47067480936448,1;7;16;23;32;33;,0.5,0.5
47064259719168,1;5;19;21;33;35;,1,0
47065333460992,3;5;16;21;32;35;,1,0
47069628428288,1;3;16;19;32;33;,1,0
47056743530496,3;5;21;23;35;39;,1,0
47061038497792,1;3;19;23;33;39;,1,0
47063185981440,1;5;19;21;33;35;,1,0
47055669792768,5;7;19;21;35;39;,1,0
47061038501888,3;7;16;19;32;39;,1,0
47063185985536,3;5;16;21;32;35;,1,0
47055669800960,1;5;21;23;33;39;,1,0
47056743542784,5;7;16;21;32;39;,1,0
47061038510080,1;7;16;23;32;33;,1,0
47055669809152,1;7;19;23;33;35;,1,0
47056743550976,3;7;16;23;32;35;,1,0
47063186001920,1;3;16;19;32;33;,1,0
47004129951744,1;3;5;7;16;19;21;23;32;33;35;39;48;49;53;55;56;57;59;61;,1,0
47262901862400,3;5;20;21;59;60;,1,0
47266123087872,1;5;19;21;57;59;,1,0
47267196829696,1;3;19;20;57;60;,1,0
47271491796992,3;5;19;20;52;53;,1,0
47273639280640,1;5;20;21;49;52;,1,0
47274713022464,1;3;19;21;49;53;,1,0
47261828124672,4;5;19;21;59;60;,1,0
47266123091968,3;5;16;21;56;59;,1,0
47267196833792,3;4;16;19;56;60;,1,0
47270418059264,3;4;19;21;52;53;,1,0
47273639284736,4;5;16;21;48;52;,1,0
47274713026560,3;5;16;19;48;53;,1,0
47261828132864,1;5;20;21;57;60;,1,0
47262901874688,4;5;16;21;56;60;,1,0
47267196841984,1;4;16;20;56;57;,1,0
47270418067456,1;4;20;21;49;53;,1,0
47271491809280,4;5;16;20;48;53;,1,0
47274713034752,1;5;16;21;48;49;,1,0
47261828141056,1;4;19;20;57;59;,1,0
47262901882880,3;4;16;20;56;59;,1,0
47266123108352,1;3;16;19;56;57;,1,0
47270418075648,1;3;19;20;49;52;,1,0
47271491817472,3;4;16;19;48;52;,1,0
47273639301120,1;4;16;20;48;49;,1,0
47271491862528,4;5;19;20;35;37;,1,0
47273639346176,1;4;20;21;33;37;,1,0
47274713088000,1;5;19;21;33;35;,1,0
47270418124800,3;4;20;21;35;37;,1,0
47273639350272,4;5;16;20;32;37;,1,0
47274713092096,3;5;16;21;32;35;,1,0
47270418137088,1;3;19;21;33;37;,1,0
47271491878912,3;5;16;19;32;37;,1,0
47273639362560,1;5;16;21;32;33;,1,0
47270418141184,1;4;19;20;33;35;,0.5,0.5
47271491883008,3;4;16;20;32;35;,1,0
47274713108480,1;3;16;19;32;33;,1,0
47262901960704,3;4;20;21;35;37;,1,0
47266123186176,1;3;19;21;33;37;,1,0
47267196928000,1;4;19;20;33;35;,1,0
47261828222976,4;5;19;20;35;37;,1,0
47266123190272,3;5;16;19;32;37;,1,0
47267196932096,3;4;16;20;32;35;,1,0
47261828231168,1;4;20;21;33;37;,1,0
47262901972992,4;5;16;20;32;37;,1,0
47266123198464,1;5;16;21;32;33;,1,0
47261828235264,1;5;19;21;33;35;,1,0
47262901977088,3;5;16;21;32;35;,1,0
47267196944384,1;3;16;19;32;33;,1,0
47210288381952,1;3;4;5;16;19;20;21;32;33;35;37;48;49;52;53;56;57;59;60;,1,0
47342358761472,4;5;21;23;44;47;,1,0
