GameState,PossibleArrows,WinProb,TieProb
112287638609920,4;5;7;8;12;13;16;21;23;40;44;47;,1,0
112493797015552,2;4;6;10;12;15;20;22;23;42;46;47;,0,1
112493797023744,4;6;7;8;12;15;16;20;22;40;46;47;,0.333333,0.666667
112493797031936,2;6;7;8;10;15;16;22;23;40;42;46;,1,0
112493797040128,2;4;7;8;10;12;16;20;23;40;42;47;,1,0
112562516492288,2;4;5;10;13;15;20;21;23;42;44;47;,0.333333,0.666667
112562516500480,4;5;7;8;13;15;16;20;21;40;44;47;,0.833333,0.166667
112562516508672,2;5;7;8;10;13;16;21;23;40;42;47;,1,0
112562516512768,2;4;7;8;10;15;16;20;23;40;42;44;,1,0
112631235969024,2;5;6;10;12;13;20;21;22;42;44;46;,0.333333,0.666667
112631235977216,4;5;6;8;12;13;16;21;22;40;44;46;,0.833333,0.166667
112631235989504,2;4;6;8;10;12;16;20;22;40;42;46;,1,0
112631235993600,2;4;5;8;10;13;16;20;21;40;42;44;,1,0
112699955453952,4;6;7;12;13;15;20;21;22;37;38;39;,1,0
112699955462144,2;6;7;10;13;15;21;22;23;34;37;38;,1,0
112699955466240,2;4;6;10;12;15;20;22;23;34;38;39;,1,0
112699955470336,2;4;7;10;12;13;20;21;23;34;37;39;,1,0
112837394399232,4;5;6;12;13;15;20;22;23;37;38;39;,0.333333,0.666667
112837394415616,5;6;7;8;13;15;16;22;23;32;37;38;,1,0
112837394419712,4;6;7;8;12;15;16;20;22;32;38;39;,1,0
112837394423808,4;5;7;8;12;13;16;20;23;32;37;39;,1,0
112974833352704,2;5;6;10;13;15;21;22;23;34;38;39;,0.333333,0.666667
112974833360896,5;6;7;8;13;15;16;21;22;32;38;39;,1,0
112974833373184,2;6;7;8;10;15;16;22;23;32;34;38;,1,0
112974833377280,2;5;7;8;10;13;16;21;23;32;34;39;,1,0
113112272306176,2;4;5;10;12;15;20;21;23;34;37;39;,0,1
113112272314368,4;5;7;8;12;15;16;20;21;32;37;39;,0.333333,0.666667
113112272322560,2;5;7;8;10;15;16;21;23;32;34;37;,1,0
113112272326656,2;4;7;8;10;12;16;20;23;32;34;39;,1,0
113180991782912,2;4;6;10;12;13;20;21;22;34;37;38;,0,1
113180991791104,4;5;6;8;12;13;16;20;22;32;37;38;,0.333333,0.666667
113180991799296,2;5;6;8;10;13;16;21;22;32;34;38;,1,0
113180991807488,2;4;5;8;10;12;16;20;21;32;34;37;,1,0
109951176146944,2;4;5;6;7;8;10;12;13;15;16;20;21;22;23;32;34;37;38;39;40;42;44;46;47;56;58;60;61;62;,1,0
112150199902208,3;5;7;13;14;15;19;21;22;43;46;47;,1,0
112150199906304,2;5;7;10;13;14;21;22;23;42;46;47;,1,0
112150199914496,2;3;7;10;14;15;19;22;23;42;43;46;,1,0
112150199918592,2;3;5;10;13;15;19;21;23;42;43;47;,1,0
112287638847488,3;5;6;13;14;15;19;21;23;43;46;47;,0.833333,0.166667
112287638859776,5;6;7;8;13;14;16;21;23;40;46;47;,1,0
112287638867968,3;6;7;8;14;15;16;19;23;40;43;46;,1,0
112287638872064,3;5;7;8;13;15;16;19;21;40;43;47;,1,0
112356358324224,2;5;6;10;13;15;21;22;23;42;46;47;,0.666667,0.333333
112356358332416,5;6;7;8;13;15;16;21;22;40;46;47;,1,0
112356358344704,2;6;7;8;10;15;16;22;23;40;42;46;,1,0
112356358348800,2;5;7;8;10;13;16;21;23;40;42;47;,1,0
112493797277696,2;3;6;10;14;15;19;22;23;42;43;47;,0.666667,0.333333
112493797285888,3;6;7;8;14;15;16;19;22;40;43;47;,1,0
112493797289984,2;6;7;8;10;14;16;22;23;40;42;47;,1,0
112493797302272,2;3;7;8;10;15;16;19;23;40;42;43;,1,0
112631236231168,2;3;5;10;13;14;19;21;22;42;43;46;,0.666667,0.333333
112631236239360,3;5;6;8;13;14;16;19;21;40;43;46;,1,0
112631236243456,2;5;6;8;10;13;16;21;22;40;42;46;,1,0
112631236251648,2;3;6;8;10;14;16;19;22;40;42;43;,1,0
112699955716096,3;6;7;13;14;15;19;21;22;35;37;39;,1,0
112699955720192,2;6;7;10;13;14;21;22;23;34;37;39;,1,0
112699955728384,2;3;6;10;14;15;19;22;23;34;35;39;,1,0
112699955732480,2;3;7;10;13;15;19;21;23;34;35;37;,1,0
112837394661376,3;5;6;13;14;15;19;22;23;35;37;39;,0.833333,0.166667
112837394673664,5;6;7;8;13;14;16;22;23;32;37;39;,1,0
112837394681856,3;6;7;8;14;15;16;19;22;32;35;39;,1,0
112837394685952,3;5;7;8;13;15;16;19;23;32;35;37;,1,0
112906114138112,2;5;6;10;14;15;21;22;23;34;37;39;,0.833333,0.166667
112906114146304,5;6;7;8;14;15;16;21;22;32;37;39;,1,0
112906114158592,2;6;7;8;10;14;16;22;23;32;34;39;,1,0
112906114162688,2;5;7;8;10;15;16;21;23;32;34;37;,1,0
113112272568320,2;3;5;10;13;15;19;21;23;34;35;39;,0.666667,0.333333
113112272576512,3;5;7;8;13;15;16;19;21;32;35;39;,1,0
113112272580608,2;5;7;8;10;13;16;21;23;32;34;39;,1,0
113112272588800,2;3;7;8;10;15;16;19;23;32;34;35;,1,0
113180992045056,2;3;6;10;13;14;19;21;22;34;35;37;,0.666667,0.333333
113180992053248,3;5;6;8;13;14;16;19;22;32;35;37;,1,0
113180992057344,2;5;6;8;10;14;16;21;22;32;34;37;,1,0
113180992069632,2;3;5;8;10;13;16;19;21;32;34;35;,1,0
109951176409088,2;3;5;6;7;8;10;13;14;15;16;19;21;22;23;32;34;35;37;39;40;42;43;46;47;56;58;59;61;62;,1,0
112150200164352,3;6;7;12;14;15;19;20;22;43;44;47;,1,0
112150200168448,2;6;7;10;12;14;20;22;23;42;44;47;,1,0
112150200172544,2;3;6;10;14;15;19;22;23;42;43;47;,1,0
112150200180736,2;3;7;10;12;15;19;20;23;42;43;44;,1,0
112287639109632,3;4;6;12;14;15;19;22;23;43;44;47;,0.833333,0.166667
112287639121920,4;6;7;8;12;14;16;22;23;40;44;47;,1,0
112287639126016,3;6;7;8;14;15;16;19;22;40;43;47;,1,0
112287639134208,3;4;7;8;12;15;16;19;23;40;43;44;,1,0
112356358586368,2;4;6;10;14;15;20;22;23;42;44;47;,0.833333,0.166667
112356358594560,4;6;7;8;14;15;16;20;22;40;44;47;,1,0
112356358602752,2;6;7;8;10;14;16;22;23;40;42;47;,1,0
112356358610944,2;4;7;8;10;15;16;20;23;40;42;44;,1,0
112562517016576,2;3;4;10;12;15;19;20;23;42;43;47;,0.666667,0.333333
112562517024768,3;4;7;8;12;15;16;19;20;40;43;47;,1,0
112562517028864,2;4;7;8;10;12;16;20;23;40;42;47;,1,0
112562517032960,2;3;7;8;10;15;16;19;23;40;42;43;,1,0
112631236493312,2;3;6;10;12;14;19;20;22;42;43;44;,1,0
112631236501504,3;4;6;8;12;14;16;19;22;40;43;44;,1,0
112631236505600,2;4;6;8;10;14;16;20;22;40;42;44;,1,0
112631236517888,2;3;4;8;10;12;16;19;20;40;42;43;,1,0
112699955978240,3;4;7;12;14;15;19;20;22;35;38;39;,1,0
112699955982336,2;4;7;10;12;14;20;22;23;34;38;39;,1,0
112699955986432,2;3;7;10;14;15;19;22;23;34;35;38;,1,0
112699955994624,2;3;4;10;12;15;19;20;23;34;35;39;,1,0
112837394923520,3;4;6;12;14;15;19;20;23;35;38;39;,1,0
112837394935808,4;6;7;8;12;14;16;20;23;32;38;39;,1,0
112837394939904,3;6;7;8;14;15;16;19;23;32;35;38;,1,0
112837394948096,3;4;7;8;12;15;16;19;20;32;35;39;,1,0
112906114400256,2;4;6;10;12;15;20;22;23;34;38;39;,0.833333,0.166667
112906114408448,4;6;7;8;12;15;16;20;22;32;38;39;,1,0
112906114416640,2;6;7;8;10;15;16;22;23;32;34;38;,1,0
112906114424832,2;4;7;8;10;12;16;20;23;32;34;39;,1,0
112974833876992,2;3;6;10;14;15;19;22;23;34;35;39;,0.833333,0.166667
112974833885184,3;6;7;8;14;15;16;19;22;32;35;39;,1,0
112974833889280,2;6;7;8;10;14;16;22;23;32;34;39;,1,0
112974833901568,2;3;7;8;10;15;16;19;23;32;34;35;,1,0
113180992307200,2;3;4;10;12;14;19;20;22;34;35;38;,0.666667,0.333333
113180992315392,3;4;6;8;12;14;16;19;20;32;35;38;,1,0
113180992319488,2;4;6;8;10;12;16;20;22;32;34;38;,1,0
113180992323584,2;3;6;8;10;14;16;19;22;32;34;35;,1,0
109951176671232,2;3;4;6;7;8;10;12;14;15;16;19;20;22;23;32;34;35;38;39;40;42;43;44;47;56;58;59;60;62;,1,0
112150200688640,3;5;6;12;13;14;19;20;21;43;44;46;,1,0
112150200692736,2;5;6;10;12;13;20;21;22;42;44;46;,1,0
112150200696832,2;3;5;10;13;14;19;21;22;42;43;46;,1,0
112150200700928,2;3;6;10;12;14;19;20;22;42;43;44;,1,0
112287639633920,3;4;5;12;13;14;19;21;22;43;44;46;,0.333333,0.666667
112287639646208,4;5;6;8;12;13;16;21;22;40;44;46;,1,0
112287639650304,3;5;6;8;13;14;16;19;21;40;43;46;,1,0
112287639654400,3;4;6;8;12;14;16;19;22;40;43;44;,1,0
112356359110656,2;4;5;10;13;14;20;21;22;42;44;46;,0.333333,0.666667
112356359118848,4;5;6;8;13;14;16;20;21;40;44;46;,0.833333,0.166667
112356359127040,2;5;6;8;10;13;16;21;22;40;42;46;,1,0
112356359131136,2;4;6;8;10;14;16;20;22;40;42;44;,1,0
112493798064128,2;3;4;10;12;14;19;20;22;42;43;46;,0,1
112493798072320,3;4;6;8;12;14;16;19;20;40;43;46;,0.5,0.5
112493798076416,2;4;6;8;10;12;16;20;22;40;42;46;,0.833333,0.166667
112493798080512,2;3;6;8;10;14;16;19;22;40;42;43;,1,0
112562517540864,2;3;5;10;12;13;19;20;21;42;43;44;,0,1
112562517549056,3;4;5;8;12;13;16;19;21;40;43;44;,0.833333,0.166667
112562517553152,2;4;5;8;10;13;16;20;21;40;42;44;,1,0
112562517561344,2;3;4;8;10;12;16;19;20;40;42;43;,1,0
112699956502528,3;4;6;12;13;14;19;20;21;35;37;38;,0.833333,0.166667
112699956506624,2;4;6;10;12;13;20;21;22;34;37;38;,1,0
112699956510720,2;3;6;10;13;14;19;21;22;34;35;37;,1,0
112699956514816,2;3;4;10;12;14;19;20;22;34;35;38;,1,0
112837395447808,3;4;5;12;13;14;19;20;22;35;37;38;,0.333333,0.666667
112837395460096,4;5;6;8;12;13;16;20;22;32;37;38;,1,0
112837395464192,3;5;6;8;13;14;16;19;22;32;35;37;,1,0
112837395468288,3;4;6;8;12;14;16;19;20;32;35;38;,1,0
112906114924544,2;4;5;10;12;14;20;21;22;34;37;38;,0,1
112906114932736,4;5;6;8;12;14;16;20;21;32;37;38;,0.833333,0.166667
112906114940928,2;5;6;8;10;14;16;21;22;32;34;37;,1,0
112906114945024,2;4;6;8;10;12;16;20;22;32;34;38;,1,0
112974834401280,2;3;5;10;13;14;19;21;22;34;35;38;,0.666667,0.333333
112974834409472,3;5;6;8;13;14;16;19;21;32;35;38;,1,0
112974834413568,2;5;6;8;10;13;16;21;22;32;34;38;,1,0
112974834421760,2;3;6;8;10;14;16;19;22;32;34;35;,1,0
113112273354752,2;3;4;10;12;13;19;20;21;34;35;37;,0,1
113112273362944,3;4;5;8;12;13;16;19;20;32;35;37;,0.333333,0.666667
113112273367040,2;4;5;8;10;12;16;20;21;32;34;37;,0.333333,0.666667
113112273371136,2;3;5;8;10;13;16;19;21;32;34;35;,1,0
109951177195520,2;3;4;5;6;8;10;12;13;14;16;19;20;21;22;32;34;35;37;38;40;42;43;44;46;56;58;59;60;61;,1,0
109951177457664,2;3;4;5;6;10;12;13;14;15;19;20;21;22;23;34;35;37;38;39;42;43;44;46;47;50;51;52;53;55;,0.925,0.075
109951177981952,3;4;5;6;7;8;12;13;14;15;16;19;20;21;22;32;35;37;38;39;40;43;44;46;47;48;51;52;53;55;,1,0
109951178244096,2;4;5;6;7;8;10;12;13;14;16;20;21;22;23;32;34;37;38;39;40;42;44;46;47;48;50;52;53;55;,1,0
