GameState,PossibleArrows,WinProb,TieProb
95092729888768,1;6;11;14;57;59;,0.5,0.5
95093803630592,1;2;10;14;57;62;,0.5,0.5
95100246081536,2;6;11;14;50;51;,0,1
95102393565184,1;6;10;14;49;50;,0.5,0.5
95105614790656,1;2;10;11;49;51;,1,0
95091656155136,2;4;11;12;58;59;,0.5,0.5
95093803638784,1;4;10;12;57;58;,1,0
95094877380608,1;2;10;11;57;59;,1,0
95100246089728,2;4;10;11;51;52;,0.5,0.5
95101319831552,1;4;11;12;49;51;,0.5,0.5
95102393573376,1;2;10;12;49;52;,1,0
95085213716480,4;6;10;12;58;62;,1,0
95086287458304,2;6;10;11;59;62;,1,0
95088434941952,2;4;11;12;58;59;,1,0
95101319843840,4;6;11;12;43;46;,1,0
95102393585664,2;6;10;12;44;46;,1,0
95105614811136,2;4;10;11;43;44;,1,0
95083066236928,4;6;11;12;59;62;,1,0
95085213720576,1;4;12;14;57;62;,1,0
95086287462400,1;6;11;14;57;59;,1,0
95100246106112,4;6;11;14;43;44;,0.5,0.5
95102393589760,1;6;12;14;41;44;,1,0
95105614815232,1;4;11;12;41;43;,1,0
95083066241024,2;4;12;14;58;62;,0.5,0.5
95086287466496,1;2;10;14;57;62;,1,0
95088434950144,1;4;10;12;57;58;,1,0
95100246110208,2;4;10;14;44;46;,1,0
95101319852032,1;4;12;14;41;46;,1,0
95105614819328,1;2;10;12;41;44;,1,0
95083066245120,2;6;11;14;58;59;,0.5,0.5
95085213728768,1;6;10;14;57;58;,0.5,0.5
95088434954240,1;2;10;11;57;59;,1,0
95100246114304,2;6;10;11;43;46;,0,1
95101319856128,1;6;11;14;41;43;,0.5,0.5
95102393597952,1;2;10;14;41;46;,0.5,0.5
95085213749248,4;6;10;14;50;52;,1,0
95086287491072,2;6;11;14;50;51;,1,0
95088434974720,2;4;10;11;51;52;,1,0
95092729942016,4;6;11;14;43;44;,1,0
95093803683840,2;4;10;14;44;46;,1,0
95094877425664,2;6;10;11;43;46;,1,0
95083066269696,4;6;11;14;51;52;,1,0
95085213753344,1;6;12;14;49;52;,1,0
95088434978816,1;4;11;12;49;51;,1,0
95091656204288,4;6;11;12;43;46;,1,0
95093803687936,1;4;12;14;41;46;,1,0
95094877429760,1;6;11;14;41;43;,1,0
95083066273792,2;6;12;14;50;52;,1,0
95086287499264,1;6;10;14;49;50;,1,0
95088434982912,1;2;10;12;49;52;,1,0
95091656208384,2;6;10;12;44;46;,1,0
95092729950208,1;6;12;14;41;44;,1,0
95094877433856,1;2;10;14;41;46;,1,0
95083066286080,2;4;11;12;50;51;,0,1
95085213769728,1;4;10;12;49;50;,0.5,0.5
95086287511552,1;2;10;11;49;51;,1,0
95091656220672,2;4;10;11;43;44;,0,1
95092729962496,1;4;11;12;41;43;,0,1
95093803704320,1;2;10;12;41;44;,0,1
95039042617344,1;2;4;6;10;11;12;14;41;43;44;46;49;50;51;52;57;58;59;62;,0.958333,0.0416667
95231242543104,4;7;14;15;60;62;,0,1
95232316284928,6;7;11;15;59;62;,0,1
95235537510400,4;6;11;14;59;60;,1,0
95239832477696,4;6;14;15;52;55;,0.5,0.5
95240906219520,6;7;11;14;51;55;,0.5,0.5
95243053703168,4;7;11;15;51;52;,0,1
95230168805376,6;7;12;15;60;62;,0,1
95232316289024,2;7;14;15;58;62;,0,1
95235537514496,2;6;12;14;58;60;,0.5,0.5
95238758739968,6;7;12;14;52;55;,0,1
95240906223616,2;6;14;15;50;55;,0,1
95243053707264,2;7;12;15;50;52;,0,1
95230168817664,4;7;11;15;59;60;,0.5,0.5
95231242559488,2;7;12;15;58;60;,0.5,0.5
95235537526784,2;4;11;12;58;59;,1,0
95238758752256,4;7;11;12;51;55;,0.5,0.5
95239832494080,2;4;12;15;50;55;,0.5,0.5
95240906235904,2;7;11;15;50;51;,0.5,0.5
95230168821760,4;6;11;12;59;62;,0.5,0.5
95231242563584,2;4;12;14;58;62;,0.5,0.5
95232316305408,2;6;11;14;58;59;,0.5,0.5
95238758756352,4;6;11;14;51;52;,0,1
95239832498176,2;6;12;14;50;52;,0.5,0.5
95243053723648,2;4;11;12;50;51;,0.5,0.5
95239832543232,4;6;12;15;38;39;,1,0
95240906285056,6;7;11;15;35;38;,1,0
95243053768704,4;7;11;12;35;39;,1,0
95238758805504,4;7;12;14;38;39;,0.5,0.5
95240906289152,2;7;14;15;34;38;,1,0
95243053772800,2;4;12;15;34;39;,0.5,0.5
95238758809600,6;7;11;14;35;39;,0,1
95239832551424,2;6;14;15;34;39;,0,1
95243053776896,2;7;11;15;34;35;,0,1
95238758821888,4;6;11;12;35;38;,0,1
95239832563712,2;4;12;14;34;38;,0,1
95240906305536,2;6;11;14;34;35;,0,1
95231242641408,4;7;12;14;38;39;,1,0
95232316383232,6;7;11;14;35;39;,1,0
95235537608704,4;6;11;12;35;38;,1,0
95230168903680,4;6;12;15;38;39;,1,0
95232316387328,2;6;14;15;34;39;,1,0
95235537612800,2;4;12;14;34;38;,1,0
95230168907776,6;7;11;15;35;38;,1,0
95231242649600,2;7;14;15;34;38;,1,0
95235537616896,2;6;11;14;34;35;,1,0
95230168915968,4;7;11;12;35;39;,0,1
95231242657792,2;4;12;15;34;39;,0,1
95232316399616,2;7;11;15;34;35;,0,1
95176481570816,2;4;6;7;11;12;14;15;34;35;38;39;50;51;52;55;58;59;60;62;,0.791667,0.208333
95367607750656,4;7;14;15;60;62;,0.5,0.5
95369755234304,6;7;10;15;58;62;,1,0
95372976459776,4;6;10;14;58;60;,1,0
95376197685248,4;6;14;15;52;55;,0.5,0.5
95378345168896,6;7;10;14;50;55;,1,0
95380492652544,4;7;10;15;50;52;,1,0
95366534012928,6;7;12;15;60;62;,0,1
95369755238400,1;7;14;15;57;62;,0.5,0.5
95372976463872,1;6;12;14;57;60;,1,0
95375123947520,6;7;12;14;52;55;,0.5,0.5
95378345172992,1;6;14;15;49;55;,1,0
95380492656640,1;7;12;15;49;52;,0.5,0.5
95366534029312,4;7;10;15;58;60;,0.5,0.5
95367607771136,1;7;12;15;57;60;,0.5,0.5
95372976480256,1;4;10;12;57;58;,1,0
95375123963904,4;7;10;12;50;55;,1,0
95376197705728,1;4;12;15;49;55;,1,0
95378345189376,1;7;10;15;49;50;,0.5,0.5
95366534033408,4;6;10;12;58;62;,0.5,0.5
95367607775232,1;4;12;14;57;62;,1,0
95369755258880,1;6;10;14;57;58;,0.5,0.5
95375123968000,4;6;10;14;50;52;,0.5,0.5
95376197709824,1;6;12;14;49;52;,0.5,0.5
95380492677120,1;4;10;12;49;50;,1,0
95376197750784,4;6;12;15;38;39;,1,0
95378345234432,6;7;10;15;34;38;,1,0
95380492718080,4;7;10;12;34;39;,1,0
95375124013056,4;7;12;14;38;39;,1,0
95378345238528,1;7;14;15;33;38;,1,0
95380492722176,1;4;12;15;33;39;,1,0
95375124021248,6;7;10;14;34;39;,0.5,0.5
95376197763072,1;6;14;15;33;39;,0.5,0.5
95380492730368,1;7;10;15;33;34;,0.5,0.5
95375124033536,4;6;10;12;34;38;,0.5,0.5
95376197775360,1;4;12;14;33;38;,0.5,0.5
