GameState,PossibleArrows,WinProb,TieProb
219696171134976,2;4;6;24;28;30;32;34;38;40;42;44;,1,0
219696171139072,2;3;6;24;26;30;32;35;38;40;42;43;,1,0
219696171147264,2;3;4;24;26;28;32;34;35;40;43;44;,0.833333,0.166667
219696171155456,2;4;6;19;20;22;34;35;38;42;43;44;,1,0
219696171163648,3;4;6;16;20;22;32;35;38;40;43;44;,1,0
219696171171840,2;3;6;16;19;22;32;34;38;40;42;43;,1,0
219696171180032,2;3;4;16;19;20;32;34;35;40;42;44;,1,0
219696171188224,2;3;6;19;20;22;26;28;30;42;43;44;,0.833333,0.166667
219696171196416,3;4;6;16;19;22;24;28;30;40;43;44;,1,0
219696171200512,2;4;6;16;20;22;24;26;30;40;42;44;,1,0
219696171212800,2;3;4;16;19;20;24;26;28;40;42;43;,1,0
219696171220992,2;3;4;19;20;22;26;28;30;34;35;38;,0.333333,0.666667
219696171229184,3;4;6;16;19;20;24;28;30;32;35;38;,0.833333,0.166667
219696171233280,2;4;6;16;20;22;24;26;28;32;34;38;,1,0
219696171237376,2;3;6;16;19;22;24;26;30;32;34;35;,1,0
215504282976256,2;3;4;5;6;16;19;20;21;22;24;26;28;29;30;32;34;35;37;38;40;42;43;44;46;56;58;59;60;61;,1,0
219490013003776,3;5;6;11;13;15;37;38;39;43;46;47;,1,0
219490013007872,3;4;6;11;12;15;35;38;39;44;46;47;,1,0
219490013011968,3;4;5;12;13;15;35;37;39;43;44;47;,1,0
219490013016064,4;5;6;11;12;13;35;37;38;43;44;46;,1,0
219490013032448,4;5;6;12;13;15;29;30;31;44;46;47;,1,0
219490013040640,3;4;6;11;12;15;28;30;31;43;46;47;,1,0
219490013044736,3;4;5;11;13;15;28;29;31;43;44;47;,1,0
219490013048832,3;5;6;11;12;13;28;29;30;43;44;46;,1,0
219490013065216,4;5;6;12;13;15;28;30;31;37;38;39;,1,0
219490013069312,3;5;6;11;13;15;29;30;31;35;38;39;,1,0
219490013077504,3;4;5;11;12;15;28;29;31;35;37;39;,1,0
219490013081600,3;4;6;11;12;13;28;29;30;35;37;38;,1,0
219558732472320,4;5;6;12;13;15;37;38;39;44;46;47;,1,0
219558732480512,5;6;7;10;13;15;34;37;38;42;46;47;,1,0
219558732484608,4;6;7;10;12;15;34;38;39;42;44;46;,1,0
219558732488704,4;5;7;10;12;13;34;37;39;42;44;47;,1,0
219558732505088,5;6;7;12;13;15;28;29;30;44;46;47;,1,0
219558732517376,4;6;7;10;12;15;26;28;30;42;46;47;,1,0
219558732521472,4;5;7;10;13;15;26;28;29;42;44;47;,1,0
219558732525568,4;5;6;10;12;13;26;29;30;42;44;46;,1,0
219558732537856,4;6;7;12;13;15;28;29;30;37;38;39;,1,0
219558732546048,5;6;7;10;13;15;26;29;30;34;38;39;,1,0
219558732554240,4;5;7;10;12;15;26;28;29;34;37;39;,1,0
219558732558336,4;5;6;10;12;13;26;28;30;34;37;38;,1,0
219627451949056,5;6;7;11;13;15;35;37;38;43;46;47;,1,0
219627451961344,3;6;7;10;11;15;34;35;38;42;46;47;,1,0
219627451965440,3;5;7;10;13;15;34;35;37;42;43;47;,1,0
219627451969536,3;5;6;10;11;13;34;37;38;42;43;46;,1,0
219627451981824,3;5;6;11;13;15;29;30;31;43;46;47;,1,0
219627451985920,5;6;7;10;13;15;26;29;30;42;46;47;,1,0
219627451994112,3;6;7;10;11;15;26;30;31;42;43;46;,1,0
219627451998208,3;5;7;10;11;13;26;29;31;42;43;47;,1,0
219627452014592,3;6;7;11;13;15;29;30;31;35;37;38;,1,0
219627452018688,5;6;7;10;13;15;26;30;31;34;37;38;,1,0
219627452030976,3;5;7;10;11;15;26;29;31;34;35;37;,1,0
219627452035072,3;5;6;10;11;13;26;29;30;34;35;38;,1,0
219696171425792,4;6;7;11;12;15;35;38;39;43;44;46;,1,0
219696171433984,3;6;7;10;11;15;34;38;39;42;43;46;,1,0
219696171442176,3;4;7;10;12;15;34;35;39;42;43;44;,1,0
219696171446272,3;4;6;10;11;12;34;35;38;42;44;46;,1,0
219696171458560,3;6;7;11;12;15;28;30;31;43;44;46;,1,0
219696171462656,4;6;7;10;12;15;26;30;31;42;44;46;,1,0
219696171474944,3;4;7;10;11;15;26;28;31;42;43;44;,1,0
219696171479040,3;4;6;10;11;12;26;28;30;42;43;46;,1,0
219696171491328,3;4;6;11;12;15;28;30;31;35;38;39;,1,0
219696171495424,4;6;7;10;12;15;26;28;30;34;38;39;,1,0
219696171499520,3;6;7;10;11;15;26;30;31;34;35;38;,1,0
219696171507712,3;4;7;10;11;12;26;28;31;34;35;39;,1,0
219764890902528,4;5;7;11;12;13;35;37;39;43;44;47;,1,0
219764890910720,3;5;7;10;11;13;34;37;39;42;43;47;,1,0
219764890914816,3;4;7;10;11;12;34;35;39;42;44;47;,1,0
219764890923008,3;4;5;10;12;13;34;35;37;42;43;44;,1,0
219764890935296,3;5;7;11;12;13;28;29;31;43;44;47;,1,0
219764890939392,4;5;7;10;12;13;26;29;31;42;44;47;,1,0
219764890947584,3;4;7;10;11;12;26;28;31;42;43;47;,1,0
219764890955776,3;4;5;10;11;13;26;28;29;42;43;44;,1,0
219764890968064,3;4;7;11;12;13;28;29;31;35;37;39;,1,0
219764890972160,4;5;7;10;12;13;26;28;31;34;37;39;,1,0
219764890976256,3;5;7;10;11;13;26;29;31;34;35;39;,1,0
219764890988544,3;4;5;10;11;12;26;28;29;34;35;37;,1,0
215504283238400,3;4;5;6;7;10;11;12;13;15;26;28;29;30;31;34;35;37;38;39;42;43;44;46;47;58;59;60;61;62;,1,0
219352574836736,2;5;6;10;13;15;37;38;39;42;46;47;,1,0
219352574840832,2;4;6;10;12;15;34;38;39;44;46;47;,1,0
219352574844928,2;4;5;12;13;15;34;37;39;42;44;47;,1,0
219352574849024,4;5;6;10;12;13;34;37;38;42;44;46;,1,0
219352574861312,4;5;6;12;13;15;29;30;31;44;46;47;,1,0
219352574873600,2;4;6;10;12;15;28;30;31;42;46;47;,1,0
219352574877696,2;4;5;10;13;15;28;29;31;42;44;47;,1,0
219352574881792,2;5;6;10;12;13;28;29;30;42;44;46;,1,0
219352574894080,4;5;6;12;13;15;28;30;31;37;38;39;,1,0
219352574902272,2;5;6;10;13;15;29;30;31;34;38;39;,1,0
219352574910464,2;4;5;10;12;15;28;29;31;34;37;39;,1,0
219352574914560,2;4;6;10;12;13;28;29;30;34;37;38;,1,0
219490013773824,4;5;6;12;13;15;37;38;39;44;46;47;,1,0
219490013790208,5;6;7;8;13;15;32;37;38;40;46;47;,1,0
219490013794304,4;6;7;8;12;15;32;38;39;40;44;46;,1,0
219490013798400,4;5;7;8;12;13;32;37;39;40;44;47;,1,0
219490013806592,5;6;7;12;13;15;28;29;30;44;46;47;,1,0
219490013827072,4;6;7;8;12;15;24;28;30;40;46;47;,1,0
219490013831168,4;5;7;8;13;15;24;28;29;40;44;47;,1,0
219490013835264,4;5;6;8;12;13;24;29;30;40;44;46;,1,0
219490013839360,4;6;7;12;13;15;28;29;30;37;38;39;,1,0
219490013855744,5;6;7;8;13;15;24;29;30;32;38;39;,1,0
219490013863936,4;5;7;8;12;15;24;28;29;32;37;39;,1,0
219490013868032,4;5;6;8;12;13;24;28;30;32;37;38;,1,0
219627452727296,5;6;7;10;13;15;34;37;38;42;46;47;,1,0
219627452747776,2;6;7;8;10;15;32;34;38;40;46;47;,1,0
219627452751872,2;5;7;8;13;15;32;34;37;40;42;47;,1,0
219627452755968,2;5;6;8;10;13;32;37;38;40;42;46;,0.833333,0.166667
219627452760064,2;5;6;10;13;15;29;30;31;42;46;47;,1,0
219627452768256,5;6;7;8;13;15;24;29;30;40;46;47;,1,0
219627452780544,2;6;7;8;10;15;24;30;31;40;42;46;,1,0
219627452784640,2;5;7;8;10;13;24;29;31;40;42;47;,1,0
219627452792832,2;6;7;10;13;15;29;30;31;34;37;38;,1,0
219627452801024,5;6;7;8;13;15;24;30;31;32;37;38;,1,0
219627452817408,2;5;7;8;10;15;24;29;31;32;34;37;,1,0
219627452821504,2;5;6;8;10;13;24;29;30;32;34;38;,1,0
219696172204032,4;6;7;10;12;15;34;38;39;42;44;46;,1,0
219696172220416,2;6;7;8;10;15;32;38;39;40;42;46;,1,0
219696172228608,2;4;7;8;12;15;32;34;39;40;42;44;,1,0
219696172232704,2;4;6;8;10;12;32;34;38;40;44;46;,1,0
219696172236800,2;6;7;10;12;15;28;30;31;42;44;46;,1,0
219696172244992,4;6;7;8;12;15;24;30;31;40;44;46;,1,0
219696172261376,2;4;7;8;10;15;24;28;31;40;42;44;,1,0
219696172265472,2;4;6;8;10;12;24;28;30;40;42;46;,0.833333,0.166667
219696172269568,2;4;6;10;12;15;28;30;31;34;38;39;,1,0
219696172277760,4;6;7;8;12;15;24;28;30;32;38;39;,1,0
219696172285952,2;6;7;8;10;15;24;30;31;32;34;38;,1,0
219696172294144,2;4;7;8;10;12;24;28;31;32;34;39;,1,0
219764891680768,4;5;7;10;12;13;34;37;39;42;44;47;,1,0
219764891697152,2;5;7;8;10;13;32;37;39;40;42;47;,1,0
219764891701248,2;4;7;8;10;12;32;34;39;40;44;47;,1,0
219764891709440,2;4;5;8;12;13;32;34;37;40;42;44;,1,0
219764891713536,2;5;7;10;12;13;28;29;31;42;44;47;,1,0
219764891721728,4;5;7;8;12;13;24;29;31;40;44;47;,1,0
219764891734016,2;4;7;8;10;12;24;28;31;40;42;47;,1,0
219764891742208,2;4;5;8;10;13;24;28;29;40;42;44;,1,0
219764891746304,2;4;7;10;12;13;28;29;31;34;37;39;,1,0
219764891754496,4;5;7;8;12;13;24;28;31;32;37;39;,1,0
219764891762688,2;5;7;8;10;13;24;29;31;32;34;39;,1,0
219764891774976,2;4;5;8;10;12;24;28;29;32;34;37;,0.833333,0.166667
215504284024832,2;4;5;6;7;8;10;12;13;15;24;28;29;30;31;32;34;37;38;39;40;42;44;46;47;56;58;60;61;62;,1,0
219352575090688,3;5;6;11;13;15;37;38;39;43;46;47;,1,0
219352575102976,2;3;6;10;11;15;35;38;39;42;46;47;,1,0
219352575107072,2;3;5;10;13;15;35;37;39;42;43;47;,1,0
219352575111168,2;5;6;10;11;13;35;37;38;42;43;46;,1,0
219352575127552,2;5;6;10;13;15;29;30;31;42;46;47;,1,0
219352575135744,2;3;6;10;11;15;26;30;31;43;46;47;,1,0
219352575139840,2;3;5;11;13;15;26;29;31;42;43;47;,1,0
219352575143936,3;5;6;10;11;13;26;29;30;42;43;46;,1,0
219352575156224,3;5;6;11;13;15;29;30;31;35;38;39;,1,0
219352575160320,2;5;6;10;13;15;26;30;31;37;38;39;,1,0
219352575172608,2;3;5;10;11;15;26;29;31;35;37;39;,1,0
219352575176704,2;3;6;10;11;13;26;29;30;35;37;38;,1,0
219490014035968,5;6;7;11;13;15;35;37;38;43;46;47;,1,0
219490014056448,3;6;7;8;11;15;32;35;38;40;46;47;,1,0
219490014060544,3;5;7;8;13;15;32;35;37;40;43;47;,1,0
219490014064640,3;5;6;8;11;13;32;37;38;40;43;46;,1,0
219490014068736,3;5;6;11;13;15;29;30;31;43;46;47;,1,0
219490014081024,5;6;7;8;13;15;24;29;30;40;46;47;,1,0
219490014089216,3;6;7;8;11;15;24;30;31;40;43;46;,1,0
219490014093312,3;5;7;8;11;13;24;29;31;40;43;47;,1,0
219490014101504,3;6;7;11;13;15;29;30;31;35;37;38;,1,0
219490014113792,5;6;7;8;13;15;24;30;31;32;37;38;,1,0
219490014126080,3;5;7;8;11;15;24;29;31;32;35;37;,1,0
219490014130176,3;5;6;8;11;13;24;29;30;32;35;38;,1,0
219558733512704,2;5;6;10;13;15;37;38;39;42;46;47;,1,0
219558733520896,5;6;7;8;13;15;32;37;38;40;46;47;,1,0
219558733533184,2;6;7;8;10;15;32;38;39;40;42;46;,1,0
219558733537280,2;5;7;8;10;13;32;37;39;40;42;47;,1,0
219558733545472,5;6;7;10;13;15;26;29;30;42;46;47;,1,0
219558733565952,2;6;7;8;10;15;24;26;30;40;46;47;,1,0
219558733570048,2;5;7;8;13;15;24;26;29;40;42;47;,1,0
219558733574144,2;5;6;8;10;13;24;29;30;40;42;46;,1,0
219558733578240,2;6;7;10;13;15;26;29;30;37;38;39;,1,0
219558733586432,5;6;7;8;13;15;24;29;30;32;38;39;,1,0
219558733602816,2;5;7;8;10;15;24;26;29;32;37;39;,1,0
219558733606912,2;5;6;8;10;13;24;26;30;32;37;38;,1,0
219696172466176,2;6;7;10;11;15;35;38;39;42;43;46;,1,0
219696172474368,3;6;7;8;11;15;32;38;39;40;43;46;,1,0
219696172490752,2;3;7;8;10;15;32;35;39;40;42;43;,1,0
219696172494848,2;3;6;8;10;11;32;35;38;40;42;46;,1,0
219696172498944,3;6;7;10;11;15;26;30;31;42;43;46;,1,0
219696172511232,2;6;7;8;10;15;24;30;31;40;42;46;,1,0
219696172523520,2;3;7;8;11;15;24;26;31;40;42;43;,1,0
219696172527616,2;3;6;8;10;11;24;26;30;40;43;46;,1,0
219696172531712,2;3;6;10;11;15;26;30;31;35;38;39;,1,0
219696172539904,3;6;7;8;11;15;24;30;31;32;35;38;,1,0
219696172544000,2;6;7;8;10;15;24;26;30;32;38;39;,1,0
219696172556288,2;3;7;8;10;11;24;26;31;32;35;39;,1,0
219764891942912,2;5;7;10;11;13;35;37;39;42;43;47;,1,0
219764891951104,3;5;7;8;11;13;32;37;39;40;43;47;,1,0
219764891963392,2;3;7;8;10;11;32;35;39;40;42;47;,1,0
219764891971584,2;3;5;8;10;13;32;35;37;40;42;43;,1,0
219764891975680,3;5;7;10;11;13;26;29;31;42;43;47;,1,0
219764891987968,2;5;7;8;10;13;24;29;31;40;42;47;,1,0
219764891996160,2;3;7;8;10;11;24;26;31;40;43;47;,1,0
219764892004352,2;3;5;8;11;13;24;26;29;40;42;43;,1,0
219764892008448,2;3;7;10;11;13;26;29;31;35;37;39;,1,0
219764892016640,3;5;7;8;11;13;24;29;31;32;35;39;,1,0
219764892020736,2;5;7;8;10;13;24;26;31;32;37;39;,1,0
219764892037120,2;3;5;8;10;11;24;26;29;32;35;37;,1,0
215504284286976,2;3;5;6;7;8;10;11;13;15;24;26;29;30;31;32;35;37;38;39;40;42;43;46;47;56;58;59;61;62;,1,0
219352575352832,3;4;6;11;12;15;35;38;39;44;46;47;,1,0
219352575361024,2;3;6;10;11;15;34;38;39;43;46;47;,1,0
219352575369216,2;3;4;10;12;15;34;35;39;43;44;47;,1,0
219352575373312,2;4;6;10;11;12;34;35;38;43;44;46;,1,0
219352575385600,3;4;6;11;12;15;28;30;31;43;46;47;,1,0
219352575389696,2;4;6;10;12;15;26;30;31;44;46;47;,1,0
219352575401984,2;3;4;10;11;15;26;28;31;43;44;47;,1,0
219352575406080,2;3;6;10;11;12;26;28;30;43;44;46;,1,0
219352575422464,2;4;6;10;12;15;28;30;31;34;38;39;,1,0
219352575426560,2;3;6;10;11;15;26;30;31;35;38;39;,1,0
219352575434752,2;3;4;11;12;15;26;28;31;34;35;39;,1,0
219352575438848,3;4;6;10;11;12;26;28;30;34;35;38;,1,0
219490014298112,4;6;7;11;12;15;35;38;39;43;44;46;,1,0
219490014314496,3;6;7;8;11;15;32;38;39;40;43;46;,1,0
219490014322688,3;4;7;8;12;15;32;35;39;40;43;44;,1,0
219490014326784,3;4;6;8;11;12;32;35;38;40;44;46;,1,0
219490014330880,3;6;7;11;12;15;28;30;31;43;44;46;,1,0
219490014343168,4;6;7;8;12;15;24;30;31;40;44;46;,1,0
219490014355456,3;4;7;8;11;15;24;28;31;40;43;44;,1,0
219490014359552,3;4;6;8;11;12;24;28;30;40;43;46;,1,0
219490014363648,3;4;6;11;12;15;28;30;31;35;38;39;,1,0
219490014375936,4;6;7;8;12;15;24;28;30;32;38;39;,1,0
219490014380032,3;6;7;8;11;15;24;30;31;32;35;38;,1,0
219490014388224,3;4;7;8;11;12;24;28;31;32;35;39;,1,0
219558733774848,2;4;6;10;12;15;34;38;39;44;46;47;,1,0
219558733783040,4;6;7;8;12;15;32;38;39;40;44;46;,1,0
219558733791232,2;6;7;8;10;15;32;34;38;40;46;47;,1,0
219558733799424,2;4;7;8;10;12;32;34;39;40;44;47;,1,0
219558733807616,2;6;7;10;12;15;26;28;30;44;46;47;,1,0
219558733815808,4;6;7;8;12;15;24;28;30;40;46;47;,1,0
219558733832192,2;4;7;8;10;15;24;26;28;40;44;47;,1,0
219558733836288,2;4;6;8;10;12;24;26;30;40;44;46;,1,0
219558733840384,4;6;7;10;12;15;26;28;30;34;38;39;,1,0
219558733856768,2;6;7;8;10;15;24;26;30;32;38;39;,1,0
219558733864960,2;4;7;8;12;15;24;26;28;32;34;39;,1,0
219558733869056,2;4;6;8;10;12;24;28;30;32;34;38;,1,0
219627453251584,2;6;7;10;11;15;34;35;38;43;46;47;,1,0
219627453259776,3;6;7;8;11;15;32;35;38;40;46;47;,1,0
219627453276160,2;3;7;8;10;15;32;34;35;40;43;47;,1,0
219627453280256,2;3;6;8;10;11;32;34;38;40;43;46;,1,0
219627453284352,2;3;6;10;11;15;26;30;31;43;46;47;,1,0
219627453292544,3;6;7;8;11;15;24;30;31;40;43;46;,1,0
219627453296640,2;6;7;8;10;15;24;26;30;40;46;47;,1,0
219627453308928,2;3;7;8;10;11;24;26;31;40;43;47;,1,0
219627453317120,3;6;7;10;11;15;26;30;31;34;35;38;,1,0
219627453329408,2;6;7;8;10;15;24;30;31;32;34;38;,1,0
219627453341696,2;3;7;8;11;15;24;26;31;32;34;35;,1,0
219627453345792,2;3;6;8;10;11;24;26;30;32;35;38;,1,0
219764892205056,2;4;7;10;11;12;34;35;39;43;44;47;,1,0
219764892213248,3;4;7;8;11;12;32;35;39;40;44;47;,1,0
219764892221440,2;3;7;8;10;11;32;34;39;40;43;47;,1,0
219764892233728,2;3;4;8;10;12;32;34;35;40;43;44;,0.833333,0.166667
219764892237824,2;3;7;10;11;12;26;28;31;43;44;47;,1,0
219764892246016,3;4;7;8;11;12;24;28;31;40;43;47;,1,0
219764892250112,2;4;7;8;10;12;24;26;31;40;44;47;,1,0
219764892266496,2;3;4;8;10;11;24;26;28;40;43;44;,0.833333,0.166667
219764892270592,3;4;7;10;11;12;26;28;31;34;35;39;,1,0
219764892282880,2;4;7;8;10;12;24;28;31;32;34;39;,1,0
219764892286976,2;3;7;8;10;11;24;26;31;32;35;39;,1,0
219764892299264,2;3;4;8;11;12;24;26;28;32;34;35;,1,0
215504284549120,2;3;4;6;7;8;10;11;12;15;24;26;28;30;31;32;34;35;38;39;40;43;44;46;47;56;58;59;60;62;,1,0
219352575614976,3;4;5;12;13;15;35;37;39;43;44;47;,1,0
219352575623168,2;3;5;11;13;15;34;37;39;42;43;47;,1,0
219352575627264,2;3;4;11;12;15;34;35;39;42;44;47;,1,0
219352575635456,2;4;5;11;12;13;34;35;37;42;43;44;,1,0
219352575647744,3;4;5;11;13;15;28;29;31;43;44;47;,1,0
219352575651840,2;4;5;12;13;15;26;29;31;42;44;47;,1,0
219352575660032,2;3;4;11;12;15;26;28;31;42;43;47;,1,0
219352575668224,2;3;5;11;12;13;26;28;29;42;43;44;,1,0
219352575680512,3;4;5;11;12;15;28;29;31;35;37;39;,1,0
219352575684608,2;4;5;12;13;15;26;28;31;34;37;39;,1,0
219352575688704,2;3;5;11;13;15;26;29;31;34;35;39;,1,0
219352575700992,2;3;4;11;12;13;26;28;29;34;35;37;,1,0
219490014560256,4;5;7;11;12;13;35;37;39;43;44;47;,1,0
219490014576640,3;5;7;8;11;13;32;37;39;40;43;47;,1,0
219490014580736,3;4;7;8;11;12;32;35;39;40;44;47;,1,0
219490014588928,3;4;5;8;12;13;32;35;37;40;43;44;,1,0
219490014593024,3;5;7;11;12;13;28;29;31;43;44;47;,1,0
219490014605312,4;5;7;8;12;13;24;29;31;40;44;47;,1,0
219490014613504,3;4;7;8;11;12;24;28;31;40;43;47;,1,0
219490014621696,3;4;5;8;11;13;24;28;29;40;43;44;,1,0
219490014625792,3;4;7;11;12;13;28;29;31;35;37;39;,1,0
219490014638080,4;5;7;8;12;13;24;28;31;32;37;39;,1,0
219490014642176,3;5;7;8;11;13;24;29;31;32;35;39;,1,0
219490014654464,3;4;5;8;11;12;24;28;29;32;35;37;,1,0
219558734036992,2;4;5;12;13;15;34;37;39;42;44;47;,1,0
219558734045184,4;5;7;8;12;13;32;37;39;40;44;47;,1,0
219558734053376,2;5;7;8;13;15;32;34;37;40;42;47;,1,0
219558734057472,2;4;7;8;12;15;32;34;39;40;42;44;,1,0
219558734069760,2;5;7;12;13;15;26;28;29;42;44;47;,1,0
219558734077952,4;5;7;8;13;15;24;28;29;40;44;47;,1,0
219558734090240,2;4;7;8;12;15;24;26;28;40;42;47;,1,0
219558734098432,2;4;5;8;12;13;24;26;29;40;42;44;,1,0
219558734102528,2;4;7;12;13;15;26;28;29;34;37;39;,1,0
219558734110720,4;5;7;8;12;15;24;28;29;32;37;39;,1,0
219558734118912,2;5;7;8;13;15;24;26;29;32;34;39;,1,0
219558734131200,2;4;5;8;12;13;24;26;28;32;34;37;,1,0
219627453513728,2;5;7;11;13;15;34;35;37;42;43;47;,1,0
219627453521920,3;5;7;8;13;15;32;35;37;40;43;47;,1,0
219627453534208,2;3;7;8;11;15;32;34;35;40;42;47;,1,0
219627453542400,2;3;5;8;11;13;32;34;37;40;42;43;,1,0
219627453546496,2;3;5;11;13;15;26;29;31;42;43;47;,1,0
219627453554688,3;5;7;8;11;13;24;29;31;40;43;47;,1,0
219627453558784,2;5;7;8;13;15;24;26;29;40;42;47;,1,0
219627453566976,2;3;7;8;11;15;24;26;31;40;42;43;,1,0
219627453579264,2;3;7;11;13;15;26;29;31;34;35;37;,1,0
219627453587456,3;5;7;8;11;15;24;29;31;32;35;37;,1,0
219627453591552,2;5;7;8;13;15;24;26;31;32;34;37;,1,0
